name,stars,forks,watchers,open_issues,primary_language,languages,created_at,updated_at
freeCodeCamp,410681,39076,410681,273,TypeScript,"['TypeScript', 'JavaScript', 'CSS', 'Dockerfile', 'EJS', 'HTML', 'Shell', 'Less']",2014-12-24T17:49:19Z,2025-03-03T21:49:48Z
free-programming-books,351558,62907,351558,86,HTML,['HTML'],2013-10-11T06:50:37Z,2025-03-03T21:41:12Z
awesome,349619,28629,349619,51,,[],2014-07-11T13:42:37Z,2025-03-03T21:47:56Z
build-your-own-x,346533,32124,346533,356,Markdown,['Markdown'],2018-05-09T12:03:18Z,2025-03-03T21:52:58Z
public-apis,328896,34874,328896,467,Python,"['Python', 'Shell']",2016-03-20T23:49:42Z,2025-03-03T21:51:53Z
coding-interview-university,312568,78045,312568,61,,[],2016-06-06T02:34:12Z,2025-03-03T21:52:08Z
developer-roadmap,309437,40419,309437,173,TypeScript,"['TypeScript', 'Astro', 'JavaScript', 'CSS', 'Shell']",2017-03-15T13:45:52Z,2025-03-03T21:52:14Z
system-design-primer,290705,48337,290705,481,Python,"['Python', 'Shell']",2017-02-26T16:15:28Z,2025-03-03T21:52:42Z
996.ICU,270351,21124,270351,16697,,[],2019-03-26T07:31:14Z,2025-03-03T20:15:37Z
awesome-python,235869,25359,235869,442,Python,"['Python', 'Makefile']",2014-06-27T21:00:06Z,2025-03-03T21:44:11Z
react,232825,47782,232825,949,JavaScript,"['JavaScript', 'TypeScript', 'HTML', 'CSS', 'C++', 'CoffeeScript', 'C', 'Shell', 'Python', 'Makefile']",2013-05-24T16:15:54Z,2025-03-03T21:24:21Z
project-based-learning,219494,28624,219494,207,,[],2017-04-12T05:07:46Z,2025-03-03T20:55:31Z
awesome-selfhosted,218941,10310,218941,0,,[],2015-06-01T02:33:17Z,2025-03-03T21:49:11Z
vue,208426,33718,208426,603,TypeScript,"['TypeScript', 'JavaScript', 'HTML', 'CSS', 'Shell']",2013-07-29T03:24:51Z,2025-03-03T18:23:07Z
Python,197828,46329,197828,353,Python,"['Python', 'Shell', 'Dockerfile']",2016-07-16T09:44:01Z,2025-03-03T21:42:16Z
javascript-algorithms,190291,30509,190291,357,JavaScript,"['JavaScript', 'Shell']",2018-03-24T07:47:04Z,2025-03-03T20:49:46Z
linux,188920,55331,188920,447,C,"['C', 'Assembly', 'Shell', 'Python', 'Makefile', 'Perl', 'Rust', 'Roff', 'C++', 'SmPL', 'Yacc', 'Lex', 'Awk', 'Jinja', 'UnrealScript', 'Gherkin', 'M4', 'MATLAB', 'Clojure', 'sed', 'XS', 'RPC']",2011-09-04T22:48:12Z,2025-03-03T21:52:47Z
tensorflow,188354,74560,188354,7379,C++,"['C++', 'Python', 'MLIR', 'HTML', 'Starlark', 'Go', 'C', 'Java', 'Jupyter Notebook', 'Shell', 'Objective-C++', 'Objective-C', 'CMake', 'Smarty', 'Swift', 'Dockerfile', 'C#', 'Batchfile', 'Ruby', 'Perl', 'Roff', 'Cython', 'Makefile', 'CSS', 'Vim Snippet']",2015-11-07T01:19:20Z,2025-03-03T21:45:43Z
You-Dont-Know-JS,181185,33595,181185,126,,[],2013-11-16T02:37:24Z,2025-03-03T20:47:00Z
CS-Notes,179172,51207,179172,213,,[],2018-02-13T14:56:24Z,2025-03-03T21:31:43Z
ohmyzsh,176440,26014,176440,477,Shell,"['Shell', 'Python', 'Makefile']",2009-08-28T18:15:37Z,2025-03-03T21:25:59Z
computer-science,176061,22349,176061,13,,[],2014-05-04T00:18:39Z,2025-03-03T21:51:15Z
AutoGPT,172122,45189,172122,214,Python,"['Python', 'TypeScript', 'Dart', 'Jinja', 'C++', 'PLpgSQL', 'CMake', 'JavaScript', 'MDX', 'CSS', 'Dockerfile', 'Shell', 'HTML', 'Ruby', 'Swift', 'C', 'Batchfile', 'Kotlin', 'Objective-C']",2023-03-16T09:21:07Z,2025-03-03T21:22:37Z
bootstrap,171677,79046,171677,665,JavaScript,"['JavaScript', 'HTML', 'SCSS', 'CSS', 'PowerShell']",2011-07-29T21:19:00Z,2025-03-03T21:09:24Z
flutter,168939,28119,168939,13229,Dart,"['Dart', 'C++', 'Objective-C++', 'Java', 'Objective-C', 'C', 'Python', 'GLSL', 'Shell', 'CMake', 'Groovy', 'JavaScript', 'Kotlin', 'Roff', 'Ruby', 'HTML', 'Swift', 'Batchfile', 'PowerShell', 'CSS', 'HLSL']",2015-03-06T22:54:58Z,2025-03-03T21:32:49Z
vscode,168017,30785,168017,9373,TypeScript,"['TypeScript', 'CSS', 'JavaScript', 'Rust', 'HTML', 'Inno Setup', 'Scilab', 'Shell', 'Batchfile', 'PowerShell', 'Scheme', 'SCSS', 'Groovy', 'Cuda', 'C++', 'Makefile', 'Python', 'Perl', 'Ruby', 'TeX', 'Objective-C', 'Objective-C++', 'Clojure', 'Handlebars', 'Less', 'PHP', 'Dockerfile', 'Julia', 'Jupyter Notebook', 'Visual Basic .NET', 'C#', 'C', 'Raku', 'Pug', 'Go', 'F#', 'Java', 'CoffeeScript', 'R', 'Roff', 'ShaderLab', 'Dart', 'Swift', 'Lua', 'HLSL', 'Hack']",2015-09-03T20:23:38Z,2025-03-03T21:30:13Z
gitignore,164784,83107,164784,500,,[],2010-11-08T20:17:14Z,2025-03-03T21:50:53Z
Python-100-Days,161546,53034,161546,700,Jupyter Notebook,"['Jupyter Notebook', 'Python', 'HTML', 'Java']",2018-03-01T16:05:52Z,2025-03-03T19:54:04Z
the-book-of-secret-knowledge,159623,10063,159623,89,,[],2018-06-23T10:43:14Z,2025-03-03T21:44:06Z
the-art-of-command-line,154932,14595,154932,246,,[],2015-05-20T15:11:03Z,2025-03-03T21:06:54Z
stable-diffusion-webui,148793,27801,148793,2364,Python,"['Python', 'JavaScript', 'CSS', 'HTML', 'Shell', 'Batchfile']",2022-08-22T14:05:26Z,2025-03-03T21:15:32Z
JavaGuide,148454,45733,148454,66,Java,"['Java', 'JavaScript']",2018-05-07T13:27:00Z,2025-03-03T20:00:01Z
javascript,146188,26668,146188,167,JavaScript,['JavaScript'],2012-11-01T23:13:50Z,2025-03-03T21:00:49Z
transformers,140532,28179,140532,1573,Python,"['Python', 'Cuda', 'Dockerfile', 'Shell', 'C++', 'C', 'Makefile', 'Cython', 'Jsonnet']",2018-10-29T13:56:00Z,2025-03-03T21:08:16Z
awesome-go,139097,12132,139097,114,Go,['Go'],2014-07-06T13:42:15Z,2025-03-03T21:44:09Z
youtube-dl,134473,10225,134473,4187,Python,"['Python', 'Shell', 'Makefile', 'ActionScript', 'Batchfile']",2010-10-31T14:35:07Z,2025-03-03T20:26:58Z
