id,name,stars,forks,watchers,open_issues,primary_language,languages_url,created_at,updated_at
118861276,python-cheatsheet,36921,6566,36921,23,Python,https://api.github.com/repos/gto76/python-cheatsheet/languages,2018-01-25T04:16:53Z,2025-03-03T22:44:06Z
1116542,aria2,36879,3663,36879,1101,C++,https://api.github.com/repos/aria2/aria2/languages,2010-11-27T09:41:48Z,2025-03-03T23:11:46Z
91629816,freqtrade,36877,7227,36877,50,Python,https://api.github.com/repos/freqtrade/freqtrade/languages,2017-05-17T23:48:53Z,2025-03-03T23:05:22Z
101394335,ant-design-pro,36870,8174,36870,197,TypeScript,https://api.github.com/repos/ant-design/ant-design-pro/languages,2017-08-25T10:40:44Z,2025-03-03T15:24:19Z
137147386,pure-bash-bible,36822,3307,36822,61,Shell,https://api.github.com/repos/dylanaraps/pure-bash-bible/languages,2018-06-13T01:39:33Z,2025-03-03T20:48:35Z
191113739,interview_internal_reference,36815,9458,36815,31,Python,https://api.github.com/repos/0voice/interview_internal_reference/languages,2019-06-10T06:54:19Z,2025-03-03T10:47:50Z
48769241,penpot,36689,1870,36689,424,Clojure,https://api.github.com/repos/penpot/penpot/languages,2015-12-29T22:09:07Z,2025-03-03T23:01:49Z
36836475,tmux,36680,2167,36680,62,C,https://api.github.com/repos/tmux/tmux/languages,2015-06-03T23:32:55Z,2025-03-03T22:01:58Z
323048702,OpenBB,36590,3317,36590,54,Python,https://api.github.com/repos/OpenBB-finance/OpenBB/languages,2020-12-20T10:46:38Z,2025-03-03T23:06:31Z
119160553,photoprism,36585,2027,36585,477,Go,https://api.github.com/repos/photoprism/photoprism/languages,2018-01-27T12:00:15Z,2025-03-03T22:46:39Z
74175805,istio,36546,7880,36546,515,Go,https://api.github.com/repos/istio/istio/languages,2016-11-18T23:57:21Z,2025-03-03T22:36:03Z
162405963,gradio,36522,2752,36522,472,Python,https://api.github.com/repos/gradio-app/gradio/languages,2018-12-19T08:24:04Z,2025-03-03T22:36:18Z
349321229,GFPGAN,36387,6034,36387,379,Python,https://api.github.com/repos/TencentARC/GFPGAN/languages,2021-03-19T06:18:20Z,2025-03-03T18:11:17Z
163591278,GitHubDaily,36366,3834,36366,318,,https://api.github.com/repos/GitHubDaily/GitHubDaily/languages,2018-12-30T13:56:58Z,2025-03-03T20:13:26Z
266417772,Summer2025-Internships,36359,2868,36359,9,,https://api.github.com/repos/SimplifyJobs/Summer2025-Internships/languages,2020-05-23T20:53:18Z,2025-03-03T23:06:17Z
400215964,novu,36358,3967,36358,286,TypeScript,https://api.github.com/repos/novuhq/novu/languages,2021-08-26T15:22:44Z,2025-03-03T22:56:58Z
523043277,ruff,36341,1233,36341,1353,Rust,https://api.github.com/repos/astral-sh/ruff/languages,2022-08-09T17:17:44Z,2025-03-03T22:36:53Z
221129519,JavaFamily,36327,7810,36327,3,,https://api.github.com/repos/AobingJava/JavaFamily/languages,2019-11-12T04:26:18Z,2025-03-03T19:56:00Z
164140756,Files,36314,2284,36314,477,C#,https://api.github.com/repos/files-community/Files/languages,2019-01-04T18:19:14Z,2025-03-03T19:38:10Z
344190478,AI-For-Beginners,36270,6477,36270,38,Jupyter Notebook,https://api.github.com/repos/microsoft/AI-For-Beginners/languages,2021-03-03T16:27:36Z,2025-03-03T21:43:48Z
280557054,trpc,36262,1322,36262,141,TypeScript,https://api.github.com/repos/trpc/trpc/languages,2020-07-18T01:17:11Z,2025-03-03T22:10:38Z
17620347,aspnetcore,36187,10244,36187,3545,C#,https://api.github.com/repos/dotnet/aspnetcore/languages,2014-03-11T06:09:42Z,2025-03-03T20:45:27Z
128624453,taro,36159,4837,36159,1499,TypeScript,https://api.github.com/repos/NervJS/taro/languages,2018-04-08T09:32:26Z,2025-03-03T23:07:30Z
268424739,helix,36134,2686,36134,999,Rust,https://api.github.com/repos/helix-editor/helix/languages,2020-06-01T04:26:56Z,2025-03-03T22:07:39Z
169677297,v,36126,2173,36126,976,V,https://api.github.com/repos/vlang/v/languages,2019-02-08T02:57:06Z,2025-03-03T20:45:25Z
678083094,manifesto,36125,1083,36125,22,HTML,https://api.github.com/repos/opentofu/manifesto/languages,2023-08-13T16:17:24Z,2025-03-03T20:49:11Z
75830968,deeplearningbook-chinese,36123,9126,36123,68,TeX,https://api.github.com/repos/exacity/deeplearningbook-chinese/languages,2016-12-07T11:46:51Z,2025-03-03T21:34:06Z
571770,pandoc,36123,3450,36123,1115,Haskell,https://api.github.com/repos/jgm/pandoc/languages,2010-03-20T20:34:23Z,2025-03-03T22:33:20Z
551376520,Pake,36104,6425,36104,38,Rust,https://api.github.com/repos/tw93/Pake/languages,2022-10-14T09:32:57Z,2025-03-03T22:22:53Z
37958358,tesseract.js,36102,2276,36102,38,JavaScript,https://api.github.com/repos/naptha/tesseract.js/languages,2015-06-24T02:49:52Z,2025-03-03T23:11:08Z
101684374,wtfpython,36056,2667,36056,68,Python,https://api.github.com/repos/satwikkansal/wtfpython/languages,2017-08-28T20:22:19Z,2025-03-03T21:16:23Z
146633589,arthas,36032,7534,36032,449,Java,https://api.github.com/repos/alibaba/arthas/languages,2018-08-29T17:15:57Z,2025-03-03T12:44:32Z
97249406,wtfjs,35984,2585,35984,44,JavaScript,https://api.github.com/repos/denysdovhan/wtfjs/languages,2017-07-14T15:42:12Z,2025-03-03T21:26:42Z
63266213,og-aws,35895,3886,35895,159,Shell,https://api.github.com/repos/open-guides/og-aws/languages,2016-07-13T17:30:16Z,2025-03-03T19:58:31Z
642323624,DragGAN,35871,3453,35871,153,Python,https://api.github.com/repos/XingangPan/DragGAN/languages,2023-05-18T10:08:02Z,2025-03-03T19:10:16Z
393571599,MockingBird,35867,5235,35867,479,Python,https://api.github.com/repos/babysor/MockingBird/languages,2021-08-07T03:53:39Z,2025-03-03T14:45:38Z
